gene_set,gene_symbol,pathway_level,regulatory_role,cell_type,pmids,reference_gene_set
IMMPRINT_IFNA_IFNB_SIGNALLING,IFNAR2,1,none,pan,8181059,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,JAK1,2,none,pan,8232552,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,TYK2,2,none,pan,1386289,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,STAT1,2,none,pan,1496401,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,STAT2,2,none,pan,1502204,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,IRF9,2,none,pan,1630447,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,IRF7,2,activating,pan,9315633,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,ISG15,3,none,pan,3087979,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,MX1,3,none,pan,2481229,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,MX2,3,none,pan,2481229,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,OAS1,3,none,pan,2411547,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,OAS2,3,none,pan,1577824,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,OASL,3,none,pan,9826176,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,IFIT1,3,none,pan,3360121,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,IFIT3,3,none,pan,9391139,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,RSAD2,3,none,pan,11752458,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,USP18,2,inhibitory,pan,11788588,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,IFI6,3,none,pan,3359997,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,ISG20,3,none,pan,12594219,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,IFNGR1,1,none,pan,2971451,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,IFNGR2,1,none,pan,8124717,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,JAK1,2,none,pan,8232552,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,JAK2,2,none,pan,7901766,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,STAT1,2,none,pan,1281555,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,IRF1,2,none,pan,9202213,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,SOCS1,2,inhibitory,pan,9857039,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,PTPN11,2,context_dependent,pan,10022928,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,CIITA,2,none,pan,8016643,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,IRF8,2,none,pan,2111015,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,CXCL9,3,none,pan,7595201,HALLMARK_INTERFERON_GAMMA_RESPONSE
IMMPRINT_IFNG_SIGNALLING,CXCL10,3,none,pan,3925348,HALLMARK_INTERFERON_GAMMA_RESPONSE
IMMPRINT_IFNG_SIGNALLING,CXCL11,3,none,pan,9625760,HALLMARK_INTERFERON_GAMMA_RESPONSE
IMMPRINT_IFNG_SIGNALLING,GBP1,3,none,pan,10970849,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,GBP2,3,none,pan,8706832,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,IDO1,3,none,pan,8188349,HALLMARK_INTERFERON_GAMMA_RESPONSE
IMMPRINT_IL10_SIGNALLING,IL10RA,1,none,pan,19890111,REACTOME_INTERLEUKIN_10_SIGNALING
IMMPRINT_IL10_SIGNALLING,IL10RB,1,none,pan,19890111,REACTOME_INTERLEUKIN_10_SIGNALING
