gene_set,cell_type,gene_symbol,pathway_level,pmids,reference_gene_set
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,FASLG,3,7505205,HALLMARK_ALLOGRAFT_REJECTION
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,KLRK1,1,10426993,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,KLRD1,1,8943374,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,KLRC2,1,2007850,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,CTSW,3,11490002;15087452,
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,UNC13D,2,14622600,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,STXBP2,2,19804848,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,RAB27A,2,10835631,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,LAMP1,2,14580882,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_FATTY_ACID_OXIDATION,pan,CPT1A,1,7892212,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,CPT2,1,1988962,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,CRAT,1,7829107,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,SLC25A20,1,9399886,REACTOME_FATTY_ACID_METABOLISM
IMMPRINT_FATTY_ACID_OXIDATION,pan,SLC22A5,1,9685390,REACTOME_FATTY_ACID_METABOLISM
IMMPRINT_FATTY_ACID_OXIDATION,pan,ACADM,2,3035565,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,ACADL,2,1774065,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,ACADVL,2,7668252,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,ACADS,2,2565344,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,HADHA,2,8135828,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,HADHB,2,8135828,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,HADH,2,8687463,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,ECHS1,2,9073515,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,ACAA2,2,8241273,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,ETFA,3,3170610,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,ETFB,3,8504797,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,pan,PPARA,2,10377439,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_GLYCOLYSIS,pan,SLC2A1,1,3839598,GOBP_MONOSACCHARIDE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,SLC2A3,1,3170580,GOBP_MONOSACCHARIDE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,HK1,2,3207429,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,HK2,2,8250948,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,GPI,2,8575767,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,PFKL,2,2533063,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,PFKM,2,2822475,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,PFKP,2,8117307,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,ALDOA,2,3840020,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,PGK1,2,6188151,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,PGAM1,2,2846553,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,ENO1,2,3529090,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,PKM,2,2854097,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,LDHA,3,3838278,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,LDHB,3,2930497,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,SLC16A1,1,8124722,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,SLC16A3,1,10926847,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,pan,PDK1,2,7499431,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,pan,HIF1A,2,8089148,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,IFNAR1,1,2153461,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
